name,latitude,longtitude
202430000000900035,37.577924,127.020374
202430000000900089,37.572429,127.008919
202430000000900008,37.580046,126.964202
202430000000900092,37.591042,126.966257
202430000000900036,37.578014,127.012952
202430000000900015,37.589273,126.989329
202430000000900041,37.5879786,126.9840854
202430000000900013,37.60261186,126.9619336
202430000000900031,37.58805535,126.9982835
202430000000900025,37.58033562,127.0025133
202430000000900053,37.578185,126.960195
202430000000900096,37.589273,126.989329
202430000000900017,37.57747268,127.0182942
202430000000900043,37.57747268,127.0182942
202430000000900057,37.578974,126.963164
202430000000900034,37.58301,127.004684
202430000000900088,37.570966,126.965389
202430000000900060,37.57791908,126.9639457
202430000000900067,37.58033562,127.0025133
202430000000900046,37.57061151,126.9880601
202430000000900094,37.57747268,127.0182942
202430000000900022,37.572429,127.008919
202430000000900042,37.5906896,126.9920651
202430000000900010,37.615189,126.974711
202430000000900005,37.57865294,127.0173782
202430000000900069,37.5906896,126.9920651
202430000000900068,37.57747268,127.0182942
202430000000900054,37.578974,126.963164
202430000000900072,37.589514,126.96551
202430000000900024,37.573807,126.981186
202430000000900049,37.591042,126.966257
202430000000900001,37.578619,127.012638
202430000000900014,37.5879786,126.9840854
202430000000900023,37.570966,126.965389
202430000000900045,37.5731443,127.0182479
202430000000900020,37.57791908,126.9639457
202430000000900038,37.592305,126.964166
202430000000900033,37.56994741,126.980707
202430000000900039,37.589514,126.96551
202430000000900066,37.5731443,127.0182479
202430000000900021,37.57004215,126.9687354
202430000000900018,37.577775,126.991322
202430000000900030,37.574184,127.001022
202430000000900026,37.605667,126.965063
202430000000900079,37.584479,126.996854
202430000000900019,37.591042,126.966257
202430000000900050,37.59132439,126.9717837
202430000000900093,37.577775,126.991322
202430000000900012,37.570179,127.001897
202430000000900004,37.57867711,127.0177746
202430000000900097,37.5879786,126.9840854
202430000000900081,37.574184,127.001022
202430000000900006,37.58303,126.963573
202430000000900048,37.571212,126.994021
202430000000900016,37.58207,126.963764
202430000000900091,37.57791908,126.9639457
202430000000900044,37.58033562,127.0025133
202430000000900047,37.57886838,126.9897116
202430000000900011,37.56859,126.992153
202430000000900055,37.57456,126.982512
202430000000900007,37.577359,126.961116
202430000000900040,37.5879786,126.9840854
202430000000900080,37.58805535,126.9982835
202430000000900037,37.57096024,126.9814402
202430000000900070,37.5879786,126.9840854
202430000000900086,37.58033562,127.0025133
202430000000900063,37.571212,126.994021
202430000000900076,37.577924,127.020374
202430000000900029,37.57954594,127.0101844
202430000000900027,37.612794,126.970339
202430000000900083,37.615161,126.974633
202430000000900065,37.57061151,126.9880601
202430000000900095,37.58207,126.963764
202430000000900009,37.5749745,127.0098332
202430000000900052,37.60197588,126.9805492
202430000000900082,37.57954594,127.0101844
202430000000900084,37.612794,126.970339
202430000000900061,37.59132439,126.9717837
202430000000900058,37.578185,126.960195
202430000000900078,37.56994741,126.980707
202430000000900073,37.592305,126.964166
202430000000900071,37.5879786,126.9840854
202430000000900074,37.57096024,126.9814402
202430000000900002,37.5723522,127.01854
202430000000900059,37.60197588,126.9805492
202430000000900077,37.58301,127.004684
202430000000900075,37.578014,127.012952
202430000000900028,37.615161,126.974633
202430000000900090,37.57004215,126.9687354
202430000000900051,37.57791908,126.9639457
202430000000900003,37.5912914,126.991483
202430000000900085,37.605667,126.965063
202430000000900056,37.584386,126.972402
202430000000900032,37.584479,126.996854
202430000000900062,37.591042,126.966257
202430000000900064,37.57886838,126.9897116
202430000000900087,37.573807,126.981186
202530100000900525,37.5651,127.0016
202530100000900526,37.5656,127.0075
202530100000900520,37.56419,127.0084
202530100000900521,37.56435,127.0094
202530100000900522,37.565216,127.006373
202530100000900523,37.5662,127.0067
202530100000900524,37.5625,126.9943
202530100000900527,37.5554,127.010369
202530100000900528,37.552379,127.004798
202530100000900529,37.559944,127.012516
202530100000900012,37.56807,126.980653
202530100000900017,37.552099,127.005081
202530100000900538,37.55277,127.0079
202530100000900011,37.568163,126.980836
202530100000900013,37.564287,127.005003
202530100000900015,37.563781,126.999448
202530100000900014,37.56389,127.000153
202530100000900018,37.552165,127.004883
202530100000900016,37.564228,126.97274
202530100000900019,37.551162,127.005732
202530100000900010,37.568213,126.984877
202530100000900539,37.5544,127.0099
202530100000900530,37.557855,127.009496
202530100000900531,37.554732,127.009531
202530100000900532,37.554424,127.004995
202530100000900533,37.549223,127.006005
202530100000900534,37.549815,127.00588
202530100000900535,37.549812,127.006844
202530100000900536,37.550929,127.007092
202530100000900537,37.55896,127.0123
202530100000900648,37.556147,127.01148
202530100000900647,37.556481,127.01619
202530100000900641,37.5605,127.0028
202530100000900642,37.5594,127.0029
202530100000900643,37.5591,127.0049
202530100000900644,37.5592,127.0058
202530100000900645,37.5595,127.0069
202530100000900646,37.558932,127.015014
202530100000900649,37.557636,127.015663
202530100000900640,37.5591,127.0028
202530100000900741,37.556065,126.994537
202530100000900742,37.553249,127.013641
202530100000900743,37.554695,126.972008
202530100000900744,37.556126,126.972084
202530100000900594,37.568573,127.013023
202530100000900596,37.56348,127.012016
202530100000900592,37.557334,127.016577
202530100000900595,37.566517,127.01281
202530100000900597,37.56359,127.0139
202530100000900590,37.548042,127.010017
202530100000900598,37.5646,127.0119
202530100000900593,37.563958,127.01298
202530100000900591,37.560648,127.01869
202530100000900599,37.56773,127.0127
202530100000900736,37.562889,127.017265
202530100000900737,37.562454,127.020126
202530100000900739,37.568039,127.01889
202530100000900733,37.55138,127.008499
202530100000900734,37.555939,127.015114
202530100000900260,37.554609,126.974119
202530100000900261,37.556701,126.980211
202530100000900265,37.557375,126.971766
202530100000900262,37.556742,126.982532
202530100000900269,37.55725,126.9787
202530100000900263,37.556014,126.981874
202530100000900267,37.561691,126.980491
202530100000900266,37.557546,126.972037
202530100000900264,37.556777,126.98058
202530100000900268,37.561332,126.980667
202530100000900735,37.56134,127.012657
202530100000900738,37.570103,127.017746
202530100000900730,37.551353,127.005592
202530100000900731,37.550747,127.007484
202530100000900732,37.55061,127.008438
202530100000900702,37.559844,126.982209
202530100000900703,37.564388,126.992915
202530100000900704,37.559306,126.979847
202530100000900700,37.562231,127.014273
202530100000900701,37.558957,126.982459
202530100000900705,37.561228,126.998058
202530100000900706,37.56673,127.012596
202530100000900707,37.564617,126.991462
202530100000900708,37.565605,127.02201
202530100000900709,37.565071,127.019717
202530100000900400,37.552677,127.012797
202530100000900401,37.552586,127.009219
202530100000900402,37.552639,127.010756
202530100000900403,37.552154,127.00897
202530100000900405,37.552992,127.010206
202530100000900406,37.553337,127.011153
202530100000900408,37.548125,127.010906
202530100000900404,37.549549,127.007881
202530100000900407,37.552507,127.011593
202530100000900409,37.558355,127.015767
202530100000900446,37.564059,127.026506
202530100000900441,37.563434,127.020745
202530100000900447,37.561574,127.018741
202530100000900444,37.564544,127.0238
202530100000900449,37.562511,127.018266
202530100000900445,37.564081,127.025846
202530100000900440,37.563789,127.020442
202530100000900442,37.563018,127.02285
202530100000900448,37.563171,127.019192
202530100000900443,37.562112,127.023049
202530100000900022,37.562486,127.024522
202530100000900023,37.562546,127.024957
202530100000900024,37.562913,127.025051
202530100000900366,37.563987,127.008982
202530100000900362,37.563385,127.00901
202530100000900368,37.553096,127.008492
202530100000900364,37.562305,127.014305
202530100000900361,37.565639,127.021421
202530100000900365,37.562082,127.010274
202530100000900360,37.56954,127.019621
202530100000900369,37.551633,127.007465
202530100000900363,37.56337,127.007559
202530100000900367,37.567294,127.018866
202530100000900497,37.567195,126.999901
202530100000900498,37.562531,126.993532
202530100000900499,37.566991,126.996452
202530100000900496,37.567931,126.9895
202530100000900618,37.568711,126.999045
202530100000900619,37.567236,126.997832
202530100000900612,37.553945,127.01066
202530100000900610,37.5654,127.0158
202530100000900613,37.553366,127.015187
202530100000900611,37.5647,127.0123
202530100000900614,37.552168,127.013916
202530100000900615,37.5517,127.0124
202530100000900616,37.5499,127.008
202530100000900617,37.5536,127.015
202530100000900196,37.557192,126.963906
202530100000900191,37.557575,126.96341
202530100000900195,37.559055,126.964999
202530100000900193,37.5523,126.962294
202530100000900199,37.556248,126.980324
202530100000900190,37.559124,126.963797
202530100000900194,37.559634,126.967315
202530100000900192,37.55449,126.966266
202530100000900198,37.558412,126.967392
202530100000900197,37.561349,126.967843
202530100000900245,37.567687,126.969579
202530100000900244,37.565262,126.973581
202530100000900240,37.559532,126.975922
202530100000900242,37.559944,126.974937
202530100000900247,37.5612,126.9717
202530100000900249,37.560575,126.976002
202530100000900241,37.559502,126.975937
202530100000900248,37.5631,126.9769
202530100000900246,37.565517,126.977455
202530100000900243,37.560268,126.975449
202530100000900412,37.556671,127.014224
202530100000900413,37.557345,127.013406
202530100000900414,37.556996,127.015536
202530100000900415,37.556902,127.01582
202530100000900491,37.559854,127.002211
202530100000900492,37.562185,127.001161
202530100000900493,37.56277,127.009454
202530100000900490,37.562335,127.006001
202530100000900495,37.567223,126.990835
202530100000900494,37.563925,126.990176
202530100000900419,37.555435,127.012253
202530100000900416,37.555973,127.017387
202530100000900417,37.556703,127.013028
202530100000900418,37.555975,127.013819
202530100000900410,37.558355,127.015767
202530100000900411,37.559241,127.01423
202530100000900740,37.555267,126.96759
202530100000900168,37.560596,126.979594
202530100000900160,37.560715,126.977314
202530100000900166,37.560445,126.978626
202530100000900169,37.561415,126.980787
202530100000900167,37.558438,126.976166
202530100000900164,37.560915,126.978167
202530100000900161,37.561259,126.980315
202530100000900217,37.562241,126.974648
202530100000900210,37.557426,126.981963
202530100000900215,37.566707,126.9709
202530100000900212,37.556768,126.979085
202530100000900214,37.568677,126.974176
202530100000900219,37.56921,126.974368
202530100000900211,37.556229,126.977279
202530100000900213,37.562929,126.973087
202530100000900218,37.563968,126.969512
202530100000900216,37.564692,126.968773
202530100000900462,37.56414,127.025857
202530100000900467,37.564626,127.019631
202530100000900466,37.564435,127.020895
202530100000900468,37.561827,127.007232
202530100000900464,37.565363,127.019282
202530100000900461,37.562307,127.018133
202530100000900463,37.562127,127.022105
202530100000900460,37.562971,127.019881
202530100000900465,37.563013,127.023167
202530100000900469,37.561334,127.008514
202530100000900065,37.560733,126.96968
202530100000900066,37.560949,126.969556
202530100000900061,37.560006,126.969342
202530100000900064,37.560409,126.969889
202530100000900068,37.562958,127.024185
202530100000900062,37.559894,126.970283
202530100000900069,37.562687,127.024757
202530100000900060,37.56076,126.968948
202530100000900067,37.56279,126.975456
202530100000900063,37.560207,126.970268
202530100000900071,37.555717,126.963593
202530100000900079,37.556847,126.96608
202530100000900073,37.555237,126.964005
202530100000900070,37.56785,126.9867
202530100000900072,37.555695,126.964325
202530100000900074,37.555325,126.964539
202530100000900076,37.555874,126.965111
